,symbol,timestamp,open,high,low,close,volume,trade_count,vwap
91,AAPL,2025-12-01 13:09:00+00:00,277.39,277.43,277.39,277.43,681.0,24.0,277.408
92,AAPL,2025-12-01 13:10:00+00:00,277.4392,277.4392,277.4392,277.4392,952.0,41.0,277.4392
93,AAPL,2025-12-01 13:11:00+00:00,277.42,277.53,277.42,277.53,2758.0,89.0,277.485516
94,AAPL,2025-12-01 13:12:00+00:00,277.424,277.45,277.39,277.39,1509.0,61.0,277.409697
95,AAPL,2025-12-01 13:13:00+00:00,277.56,277.56,277.5,277.51,2443.0,53.0,277.512012
96,AAPL,2025-12-01 13:14:00+00:00,277.41,277.41,277.41,277.41,214.0,26.0,277.41
97,AAPL,2025-12-01 13:15:00+00:00,277.43,277.43,277.43,277.43,196.0,17.0,277.43
98,AAPL,2025-12-01 13:17:00+00:00,277.26,277.26,277.26,277.26,541.0,43.0,277.26
99,AAPL,2025-12-01 13:20:00+00:00,277.3,277.5,277.3,277.5,6041.0,91.0,277.432454
100,AAPL,2025-12-01 13:21:00+00:00,277.5,277.5,277.5,277.5,3389.0,73.0,277.5
101,AAPL,2025-12-01 13:22:00+00:00,277.42,277.42,277.42,277.42,507.0,17.0,277.42
102,AAPL,2025-12-01 13:23:00+00:00,277.43,277.54,277.43,277.54,1012.0,41.0,277.4991
103,AAPL,2025-12-01 13:24:00+00:00,277.53,277.55,277.53,277.5499,23605.0,45.0,277.548808
104,AAPL,2025-12-01 13:25:00+00:00,277.55,277.64,277.55,277.63,822.0,45.0,277.614597
105,AAPL,2025-12-01 13:26:00+00:00,277.6999,277.72,277.63,277.72,5246.0,97.0,277.69622
106,AAPL,2025-12-01 13:27:00+00:00,277.8,277.8699,277.8,277.8699,5906.0,45.0,277.868529
107,AAPL,2025-12-01 13:28:00+00:00,277.77,277.77,277.7,277.75,1599.0,66.0,277.718363
108,AAPL,2025-12-01 13:29:00+00:00,277.745,277.86,277.71,277.71,11553.0,65.0,277.819222
109,AAPL,2025-12-01 13:30:00+00:00,277.7,277.7,277.6004,277.6004,2650.0,34.0,277.657828
110,AAPL,2025-12-01 13:31:00+00:00,277.6998,277.6998,277.64,277.65,2134.0,30.0,277.67874
111,AAPL,2025-12-01 13:32:00+00:00,277.5371,277.55,277.527,277.527,1075.0,24.0,277.535299
112,AAPL,2025-12-01 13:33:00+00:00,277.65,277.65,277.65,277.65,296.0,24.0,277.65
113,AAPL,2025-12-01 13:35:00+00:00,277.6,277.62,277.6,277.62,512.0,17.0,277.612711
114,AAPL,2025-12-01 13:36:00+00:00,277.61,277.61,277.6,277.6,1150.0,31.0,277.6016
115,AAPL,2025-12-01 13:37:00+00:00,277.6,277.6,277.54,277.54,983.0,42.0,277.549245
116,AAPL,2025-12-01 13:38:00+00:00,277.53,277.53,277.5,277.51,2455.0,35.0,277.517791
117,AAPL,2025-12-01 13:39:00+00:00,277.5,277.5,277.46,277.5,1866.0,43.0,277.481789
118,AAPL,2025-12-01 13:40:00+00:00,277.4,277.4,277.4,277.4,224.0,17.0,277.4
119,AAPL,2025-12-01 13:41:00+00:00,277.48,277.525,277.48,277.525,823.0,27.0,277.497062
120,AAPL,2025-12-01 13:43:00+00:00,277.66,277.66,277.66,277.66,454.0,15.0,277.66
121,AAPL,2025-12-01 13:44:00+00:00,277.5,277.64,277.5,277.64,1155.0,20.0,277.535745
122,AAPL,2025-12-01 13:45:00+00:00,277.51,277.51,277.5,277.5,755.0,46.0,277.505
123,AAPL,2025-12-01 13:46:00+00:00,277.66,277.66,277.6,277.6,1189.0,15.0,277.605666
124,AAPL,2025-12-01 13:47:00+00:00,277.47,277.6,277.47,277.6,491.0,23.0,277.532491
125,AAPL,2025-12-01 13:48:00+00:00,277.45,277.45,277.45,277.45,400.0,36.0,277.45
126,AAPL,2025-12-01 13:49:00+00:00,277.64,277.64,277.38,277.4,1251.0,53.0,277.445365
127,AAPL,2025-12-01 13:50:00+00:00,277.43,277.43,277.4,277.4,754.0,43.0,277.414634
128,AAPL,2025-12-01 13:51:00+00:00,277.29,277.37,277.23,277.37,1829.0,83.0,277.315714
129,AAPL,2025-12-01 13:52:00+00:00,277.33,277.33,277.22,277.24,1444.0,68.0,277.247744
130,AAPL,2025-12-01 13:55:00+00:00,277.38,277.38,277.38,277.38,173.0,15.0,277.38
131,AAPL,2025-12-01 13:58:00+00:00,277.3756,277.4,277.3756,277.4,899.0,38.0,277.395933
132,AAPL,2025-12-01 14:01:00+00:00,277.3025,277.3025,277.3025,277.3025,1129.0,18.0,277.3025
133,AAPL,2025-12-01 14:03:00+00:00,277.31,277.31,277.31,277.31,814.0,44.0,277.31
134,AAPL,2025-12-01 14:08:00+00:00,277.36,277.36,277.36,277.36,491.0,19.0,277.36
135,AAPL,2025-12-01 14:09:00+00:00,277.38,277.43,277.36,277.43,1424.0,68.0,277.387097
136,AAPL,2025-12-01 14:10:00+00:00,277.49,277.6,277.49,277.6,933.0,52.0,277.580462
137,AAPL,2025-12-01 14:11:00+00:00,277.62,277.65,277.61,277.61,973.0,46.0,277.626667
138,AAPL,2025-12-01 14:13:00+00:00,277.67,277.77,277.67,277.77,3801.0,96.0,277.728853
